Rank	Coin Name	Symbol	 Price 	1h	24h	7d	30d	 24h Volume 	Circulating Supply	Total Supply	 Market Cap 
895	GYEN	GYEN	0.01	0.001	-0.009	0.008	-0.006	$56,322.00	2054883680	2.05 Billion	$13,782,482.00
896	Revolution Populi	RVP	0.01	0.01	-0.024	0.391	0.442	$23,575.00	1200000000	2 Billion	$13,771,666.00
907	Vite	VITE	0.01	0.007	-0.059	-0.116	0.051	$802,472.00	1035494586	1.08 Billion	$13,511,571.00
913	PolySwarm	NCT	0.01	-0.014	-0.035	0	-0.01	$372,684.00	1726500781	1.89 Billion	$13,385,816.00
930	Spheroid Universe	SPH	0.01	0	-0.02	0.097	0.04	$89,264.00	2166097109	2.17 Billion	$12,728,515.00
950	Witnet	WIT	0.01	-0.001	0.158	0.236	0.882	$280,710.00	1278774207	2.5 Billion	$12,036,161.00
954	STEPN Green Satoshi Token on Solana	GST-SOL	0.01	-0.011	-0.002	-0.003	0.641	$728,286.00	900523933	911 Million	$11,910,310.00
959	WigoSwap	WIGO	0.01	-0.021	-0.053	0.578	3.635	$599,128.00	1555315054	1.66 Billion	$11,657,475.00
965	Bolide	BLID	0.01	-0.003	0.002	-0.008	-0.07	$35,366.00	2106371668	9.99 Billion	$11,509,461.00
969	Gearbox	GEAR	0.01	0.009	0.005	-0.043	0.622	$924,590.00	1660201607	10 Billion	$11,361,709.00
970	Goldcoin	GLC	0.01	0.002	-0.031	-0.047	-0.045	$890.00	1145006327	72.2 Million	$11,329,883.00
989	holoride	RIDE	0.01	0	-0.069	-0.145	0.221	$244,342.00	750543483	1 Billion	$10,987,183.00
1048	Xbit	XBT	0.01	0.004	0.026	0.001	0.001	$8,075,301.00	863000000	1 Billion	$9,450,479.00
1049	Swash	SWASH	0.01	-0.004	-0.006	0.004	0.207	$209,217.00	880452856	1 Billion	$9,444,958.00
1051	Prism	PRISM	0.01	0.008	-0.005	0.014	0.436	$54,392.00	1837017829	10 Billion	$9,416,831.00
1065	FibSwap DEX	FIBO	0.01	0	0.01	-0.302	0.153	$9.08	69151716404404600	100 Million	$20,254,899.00
1072	Shyft Network	SHFT	0.01	0.003	0.003	0.186	1.182	$164,340.00	980171577	2.52 Billion	$9,050,612.00
1080	Impossible Finance Launchpad	IDIA	0.01	0.004	-0.01	0.073	0.262	$17,108.00	696467975	1 Billion	$8,788,009.00
1103	REVV	REVV	0.01	0.005	-0.046	-0.179	0.712	$967,917.00	689511207	3 Billion	$8,293,190.00
1104	Ferro	FER	0.01	-0.007	-0.002	0.004	0.187	$55,517.00	1069272886	4.67 Billion	$8,284,712.00
1108	Tamadoge	TAMA	0.01	0	-0.015	-0.074	-0.049	$979,316.00	1049733333	1.05 Billion	$8,215,549.00
1141	noiseGPT	NOISEGPT	0.01	-0.098	0.126	0.682	12.684	$185,179.00	878576511	1 Billion	$7,567,374.00
1152	Wasder	WAS	0.01	-0.009	0.227	0.567	3.848	$340,876.00	597083456	1 Billion	$7,455,432.00
1156	Wagmi	WAGMI	0.01	-0.011	0.05	-0.075	-0.191	$72,021.00	672677732	∞	$7,436,811.00
1162	Cypherium	CPH	0.01	0.025	-0.096	0.019	-0.233	$9,577.00	540678192	6.83 Billion	$7,226,683.00
1182	Taki	TAKI	0.01	0.002	0.007	-0.031	-0.048	$75,026.00	1170868697	3 Billion	$6,920,953.00
1185	KI	XKI	0.01	0.004	0.045	-0.068	-0.027	$1,037.00	483942741	946 Million	$6,885,879.00
1187	LeisureMeta	LM	0.01	-0.022	-0.087	-0.199	-0.206	$1,153,747.00	964748037	4.67 Billion	$6,881,844.00
1193	Project WITH	WIKEN	0.01	-0.006	-0.014	0.015	0.069	$34,909.00	991118882	1.06 Billion	$6,690,836.00
1198	Moonwell	WELL	0.01	0.003	0.068	0.062	0.445	$707,854.00	1213656935	5 Billion	$6,600,975.00
1206	Kunci Coin	KUNCI	0.01	-0.004	-0.025	0.003	0.029	$30,892.00	1232584319	4 Billion	$6,444,413.00
1216	Passage	PASG	0.01	-0.033	-0.067	-0.035	0.336	$16,265.00	448513552	1.22 Billion	$6,279,039.00
1238	Origin DeFi Governance	OGV	0.01	-0.001	-0.028	-0.091	1.006	$839,117.00	680882297	4.41 Billion	$5,995,368.00
1245	DappRadar	RADAR	0.01	-0.034	-0.014	-0.028	0.103	$378,526.00	1013142907	10 Billion	$5,887,155.00
1251	Blockchain Bets	BCB	0.01	0.026	0.019	-0.073	0.039	$56,672.00	877672966	878 Million	$5,798,191.00
1252	Mimo Governance	MIMO	0.01	0.009	0.005	-0.008	-0.041	$12,430.00	515636482	802 Million	$5,792,457.00
1254	BendDAO	BEND	0.01	0.016	-0.027	0.037	1.136	$518,467.00	1104682279	10 Billion	$5,786,482.00
1255	Etherempires	ETE	0.01	0	0.001	-0.004	0.087	$48,556.00	500000000	500 Million	$5,699,196.00
1267	Polaris Share	POLA	0.01	-0.006	-0.019	-0.005	0.027	$605,771.00	398780733	4.6 Billion	$5,516,511.00
1278	Crowny	CRWNY	0.01	-0.019	0.013	0.141	1.74	$236,962.00	700597988	813 Million	$5,349,973.00
1282	Kryptomon	KMON	0.01	-0.004	-0.034	-0.066	-0.133	$183,903.00	845489745	1 Billion	$5,284,897.00
1294	AMATERASU OMIKAMI	OMIKAMI	0.01	0	0.068	-0.269	-0.266	$7,748.00	999592217	1 Billion	$5,101,385.00
1306	Kasta	KASTA	0.01	-0.004	0.074	-0.029	0.075	$308,323.00	350038825	1.5 Billion	$4,997,419.00
1321	MMFinance (Cronos)	MMF	0.01	-0.009	0.029	-0.046	0.722	$272,633.00	761386650	491 Million	$4,854,735.00
1328	Bullieverse	BULL	0.01	-0.065	0.264	1.161	7.068	$885,437.00	685523021	1 Billion	$4,788,052.00
1331	Retreeb	TREEB	0.01	-0.001	-0.021	-0.082	0.822	$1,047.00	627371287	1 Billion	$4,757,867.00
1332	Gridcoin	GRC	0.01	0.002	-0.039	0.008	0.019	$790.00	458310060	∞	$4,746,583.00
1335	OpenOcean	OOE	0.01	-0.003	-0.096	-0.135	-0.054	$521,200.00	504525932	1 Billion	$4,684,861.00
1341	Credefi	CREDI	0.01	-0.032	0.265	1.364	2.963	$268,461.00	598573880	949 Million	$4,623,813.00
1343	Ignis	IGNIS	0.01	0.023	-0.074	-0.069	-0.064	$10,695.00	761143950	1 Billion	$4,608,455.00
1345	Umbrella Network	UMB	0.01	-0.002	-0.111	-0.106	0.879	$157,499.00	365614566	369 Million	$4,600,243.00
1349	Quadrant Protocol	EQUAD	0.01	-0.001	-0.061	-0.112	-0.019	$14,101.00	543182923	1 Billion	$4,565,255.00
1356	ADAPad	ADAPAD	0.01	0.004	-0.079	-0.068	0.616	$27,552.00	374827642	375 Million	$4,511,329.00
1362	SpaceChain (ERC-20)	SPC	0.01	0.032	-0.11	-0.232	-0.1	$23,544.00	406294239	607 Million	$4,383,833.00
1363	Moonsama	SAMA	0.01	-0.019	-0.087	-0.014	0.873	$115,823.00	364408204	1 Billion	$4,378,800.00
1370	Civilization	CIV	0.01	0.002	0.011	-0.03	-0.065	$1,223.00	291669428	300 Million	$4,261,837.00
1372	PathDAO	PATH	0.01	-0.001	0.215	0.679	1.084	$44,655.00	420853699	1 Billion	$4,243,620.00
1376	VelasPad	VLXPAD	0.01	-0.001	-0.105	-0.013	0.906	$40,426.00	434753050	435 Million	$4,203,670.00
1386	ZoidPay	ZPAY	0.01	0.002	-0.003	0.013	0.024	$108,005.00	392000000	700 Million	$4,097,988.00
1393	Arbitrove Governance Token	TROVE	0.01	0.003	0.027	-0.01	0.103	$169,281.00	300000000	1 Billion	$4,050,468.00
1399	Thought	THT	0.01	-0.007	0.423	1.406	1.807	$32,791.00	435853607	1.39 Billion	$4,009,139.00
1409	GamerCoin	GHX	0.01	0.013	-0.043	-0.046	0.053	$135,898.00	622866240	808 Million	$3,906,742.00
1426	Ambire Wallet	WALLET	0.01	-0.001	0.049	0.075	0.325	$126,485.00	507877800	508 Million	$3,769,943.00
1428	Nelore Coin	NLC	0.01	-0.021	-0.066	-0.132	0.008	$20,867.00	367873516	373 Million	$3,739,800.00
1429	MintMe.com Coin	MINTME	0.01	0	0.05	-0.085	0.32	$111,755.00	539989129	540 Million	$3,736,221.00
1430	Affyn	FYN	0.01	0.008	-0.058	-0.131	-0.398	$476,103.00	351337053	1 Billion	$3,730,694.00
1434	TON Community	TON	0.01	-0.004	-0.023	-0.081	0.242	$25,276.00	268121355	400 Million	$3,698,066.00
1436	On-Chain Dynamics	OCD	0.01	-0.012	0.006	-0.257	-0.291	$34,847.00	406782000	1 Billion	$3,694,580.00
1445	PointPay	PXP	0.01	-0.003	-0.007	-0.104	0.057	$138,830.00	449998093	850 Million	$3,601,403.00
1449	BOSagora	BOA	0.01	0.014	-0.025	-0.021	0.081	$235,800.00	367838655	756 Million	$3,587,278.00
1461	LayerAI	LAI	0.01	-0.025	0.031	0.214	0.654	$1,234,992.00	318000000	3 Billion	$3,523,961.00
1475	AI Network	AIN	0.01	-0.002	0.057	0.033	0.039	$143,579.00	255516990	700 Million	$3,413,634.00
1488	Goons of Balatroon	GOB	0.01	0.006	0.03	0.959	4.889	$35,727.00	546144779	579 Million	$3,338,314.00
1494	MetaVPad	METAV	0.01	0.002	-0.001	0.115	1.708	$72,473.00	220000000	1.91 Billion	$3,285,115.00
1495	Dragonchain	DRGN	0.01	-0.003	-0.118	0.182	0.167	$31,008.00	368540931	433 Million	$3,278,254.00
1501	Crescent Network	CRE	0.01	0.01	-0.028	-0.157	-0.087	$182.00	344854020	441 Million	$3,228,265.00
1504	Xi	XI	0.01	-0.001	0.019	0.243	-0.075	$36,003.00	421000000	1 Billion	$3,223,838.00
1508	ZMINE	ZMN	0.01	0	-0.036	-0.033	0.05	$825.00	607187660	116 Million	$3,178,709.00
1519	NerveNetwork	NVT	0.01	-0.001	-0.042	-0.045	0.105	$157,133.00	394173576	2.1 Billion	$3,126,968.00
1522	Jarvis Reward	JRT	0.01	0.002	0.04	-0.01	0.234	$630.00	397100695	565 Million	$3,099,380.00
1536	zkSwap Finance	ZF	0.01	0.017	-0.063	3.75	17.057	$1,502,756.00	242683556	436 Million	$3,005,110.00
1539	GraphLinq Protocol	GLQ	0.01	-0.015	-0.026	0.002	1.123	$245,218.00	339999895	500 Million	$2,994,036.00
1550	BBS Network	BBS	0.01	0.038	-0.202	-0.071	0.219	$54,193.00	443487339	1 Billion	$2,926,420.00
1560	Paint Swap	BRUSH	0.01	-0.008	-0.06	0.028	0.272	$36,247.00	323257746	357 Million	$2,882,344.00
1566	Walken	WLKN	0.01	-0.006	-0.058	0.153	0.386	$1,704,535.00	516081362	2 Billion	$2,839,557.00
1568	Wam	WAM	0.01	0.007	0.032	-0.261	0.955	$225,173.00	537769577	1 Billion	$2,838,322.00
1572	NFTb	NFTB	0.01	-0.049	-0.272	-0.253	0.733	$974,451.00	309540419	726 Million	$2,823,734.00
1576	Degen Zoo	DZOO	0.01	-0.004	0.132	0.497	0.429	$666,439.00	337309736	535 Million	$2,806,391.00
1581	Jur	JUR	0.01	0.038	-0.023	0.57	0.833	$2,585.00	263332092	1 Billion	$2,786,902.00
1583	Gyrowin	GW	0.01	-0.012	-0.073	-0.245	0.039	$90,845.00	262591407	4.96 Billion	$2,787,397.00
1584	Tempus	TEMP	0.01	0	-0.051	-0.063	-0.341	$2,561.00	219148764	1 Billion	$2,786,707.00
1595	Mobius	MOBI	0.01	0.004	-0.005	0.067	-0.078	$40,533.00	513996636	888 Million	$2,732,262.00
1596	c0x	CZRX	0.01	-0.005	0.038	-0.267	0.819	$403.00	335345899	335 Million	$2,729,587.00
1612	Abyss	ABYSS	0.01	-0.001	0.003	-0.015	0.145	$23,416.00	229054790	509 Million	$2,642,766.00
1620	Granary	GRAIN	0.01	0.006	0.019	-0.018	0.903	$2,028.00	205612940	206 Million	$2,630,964.00
1625	Chirpley	CHRP	0.01	-0.015	-0.012	0.334	0.838	$400,929.00	386736817	1 Billion	$2,611,673.00
1633	Dfyn Network	DFYN	0.01	0.001	-0.041	-0.016	0.1	$136,523.00	192488455	198 Million	$2,597,997.00
1637	Polkacity	POLC	0.01	0.018	-0.008	-0.08	1.488	$347,700.00	222594428	250 Million	$2,583,585.00
1638	BSCS	BSCS	0.01	0.008	-0.003	0.02	0.364	$612,503.00	228067989	399 Million	$2,573,677.00
1639	SHILL Token	SHILL	0.01	-0.021	-0.01	0.149	0.337	$1,062,322.00	357073944	1 Billion	$2,572,303.00
1640	Monetha	MTH	0.01	0.002	-0.015	-0.058	-0.002	$519,082.00	347543900	402 Million	$2,567,447.00
1649	Tomb	TOMB	0.01	0.008	-0.072	-0.131	0.105	$32,760.00	309207149	309 Million	$2,514,989.00
1662	Vent Finance	VENT	0.01	0.001	0.027	0.185	0.659	$28,759.00	250000000	250 Million	$2,457,354.00
1666	Dvision Network	DVI	0.01	-0.012	-0.119	-0.091	0.011	$388,375.00	246769890	1 Billion	$2,447,087.00
1670	Donut	DONUT	0.01	0	0.027	0	0.895	$9,712.00	212622320	213 Million	$2,420,165.00
1672	iMe Lab	LIME	0.01	0.004	-0.078	-0.119	0.114	$292,757.00	432774153	1 Billion	$2,419,428.00
1681	Altair	AIR	0.01	-0.005	0.002	-0.156	0.197	$30,495.00	394129448	474 Million	$2,368,184.00
1691	Fabwelt	WELT	0.01	-0.001	-0.192	0.371	0.252	$303,483.00	215068939	500 Million	$2,317,344.00
1693	Traxx	TRAXX	0.01	0.011	-0.006	-0.049	0.184	$141,992.00	243965550	350 Million	$2,311,558.00
1702	Rainbow Token	RBW	0.01	0.104	0.306	0.319	0.171	$1,500,457.00	158649259	1 Billion	$2,285,031.00
1709	apM Coin	APM	0.01	-0.004	-0.027	-0.027	0.038	$1,798,701.00	361875000	1.81 Billion	$2,248,291.00
1712	Solidus Ai Tech	AITECH	0.01	-0.002	-0.033	0.035	0.106	$1,934,232.00	149653709	1.99 Billion	$2,227,076.00
1713	Karat	KAT	0.01	-0.002	-0.034	-0.056	-0.409	$145,872.00	405000000	2 Billion	$2,222,642.00
1719	Morpheus Labs	MITX	0.01	-0.025	0.132	0.286	-0.136	$7,897.00	433999994	734 Million	$2,201,876.00
1728	Dexlab	DXL	0.01	0.135	0.579	1.501	7.259	$12,589.00	164053125	1 Billion	$2,148,095.00
1729	KIRA Network	KEX	0.01	-0.003	0.024	1.412	1.21	$142,746.00	166328934	300 Million	$2,141,666.00
1730	Mirror Protocol	MIR	0.01	0.151	0.087	0.019	0.09	$466,244.00	156055247	371 Million	$2,140,612.00
1751	Props	PROPS	0.01	0.042	0.216	0.834	4.604	$37,235.00	268175841	703 Million	$2,036,770.00
1753	TETU	TETU	0.01	-0.001	-0.014	-0.038	-0.054	$6,055.00	319854691	519 Million	$2,017,850.00
1758	Aimedis (NEW)	AIMX	0.01	0.04	-0.055	-0.256	0.188	$159,759.00	386000000	588 Million	$2,006,084.00
1766	SAIL	SAIL	0.01	0.006	-0.025	0.166	1.846	$9,198.00	217222283	1 Billion	$1,951,832.00
1786	STEPN Green Satoshi Token on BSC	GST-BSC	0.01	0.039	0.074	0.109	0.507	$43,709.00	157853110	158 Million	$1,856,410.00
1787	Orcfax	FACT	0.01	-0.003	-0.001	0.112	0.215	$14,701.00	176150961	1 Billion	$1,853,089.00
1791	Quidd	QUIDD	0.01	-0.006	0.207	0.1	0.358	$1,559.00	213238767	1 Billion	$1,835,735.00
1792	PIVN	PIVN	0.01	0.14	0.647	0.609	0.98	$11,367.00	131168676	100 Billion	$1,835,341.00
1810	Capapult	CAPA	0.01	0.006	0.004	0.067	7.524	$10,318.00	149626646	500 Million	$1,762,883.00
1821	Gaia Everworld	GAIA	0.01	0.007	-0.001	0.086	0.75	$57,716.00	338947609	500 Million	$1,747,208.00
1822	EQIFi	EQX	0.01	0.002	-0.021	-0.006	0.225	$161,031.00	320088341	500 Million	$1,737,919.00
1824	SOLAPE	SOLAPE	0.01	0.006	0.522	0.765	4.78	$19,432.00	298396213	298 Million	$1,731,374.00
1826	New Order	NEWO	0.01	0	-0.011	0.254	1.118	$977.00	169695501	800 Million	$1,719,272.00
1841	Giveth	GIV	0.01	0.001	-0.004	-0.016	0.296	$2,263.00	177480867	1 Billion	$1,666,694.00
1850	Gleec Coin	GLEEC	0.01	-0.002	-0.041	-0.15	-0.018	$141,222.00	186755065	210 Million	$1,647,086.00
1864	Collab.Land	COLLAB	0.01	-0.022	0.042	0.107	0.227	$8,015.00	250000000	1 Billion	$1,597,237.00
1899	Teritori	TORI	0.01	-0.005	0.004	-0.096	1.305	$1,037.00	210128912	488 Million	$1,488,362.00
1900	Obortech	OBOT	0.01	0	-0.318	-0.064	0.042	$148.00	197500000	300 Million	$1,480,541.00
1943	TitanSwap	TITAN	0.01	-0.004	-0.048	-0.244	-0.075	$156,128.00	100000000	10 Billion	$1,341,869.00
1944	Metastrike	MTS	0.01	0.007	0.208	0.691	2.101	$178,417.00	170556801	565 Million	$1,337,428.00
1973	DinoX	DNXC	0.01	0	-0.011	-0.059	0.372	$46,653.00	160000000	160 Million	$1,270,701.00
1983	PintSwap	PINT	0.01	0.022	0.215	0.105	0.779	$23,242.00	131585104	1 Billion	$1,245,627.00
1988	TenX	PAY	0.01	0.019	-0.07	-0.14	0.065	$42,433.00	118141601	205 Million	$1,233,288.00
1992	Hex Orange Address	HOA	0.01	0.006	0.128	0.005	0.464	$26,326.00	150166853	150 Million	$1,226,289.00
1993	Hord	HORD	0.01	-0.005	-0.027	-0.057	0.47	$58,826.00	99961388	320 Million	$1,225,146.00
1995	SHOPX	SHOPX	0.01	0.004	-0.004	0.129	0.121	$155,226.00	161650222	500 Million	$1,217,452.00
1996	OneArt	1ART	0.01	0.001	-0.075	-0.19	-0.097	$42,093.00	202342004	-	$1,217,393.00
1997	EpiK Protocol	AIEPK	0.01	-0.014	-0.016	0.315	0.905	$114,664.00	155106967	400 Million	$1,214,037.00
2016	April	APRIL	0.01	-0.006	-0.067	-0.045	-0.367	$50,926.00	105788271	125 Million	$1,175,933.00
2018	Tyrion.finance	$TYRION	0.01	0.065	0.2	0.316	0.095	$29,927.00	208414601	1 Billion	$1,164,998.00
2019	VEIL	VEIL	0.01	0	0.793	0.462	2.407	$1,781.00	134467796	155 Million	$1,160,741.00
2033	PUMLx	PUMLX	0.01	0.001	-0.007	-0.066	-0.024	$229,612.00	123892858	495 Million	$1,129,226.00
2035	Kick	KICK	0.01	-0.002	0.035	0.039	0.135	$78,943.00	121788138	122 Million	$1,125,477.00
2037	ETHPad	ETHPAD	0.01	-0.009	-0.083	-0.061	1.082	$26,430.00	137000000	1 Billion	$1,114,801.00
2055	Divergence Protocol	DIVER	0.01	-0.003	0	-0.006	0.115	$236,560.00	123873661	1 Billion	$1,077,191.00
2067	Green Planet	GAMMA	0.01	-0.014	-0.142	-0.063	0.618	$758,492.00	80515189	100 Million	$1,057,582.00
2071	Oddz	ODDZ	0.01	0.006	-0.125	-0.087	0.504	$138,286.00	89405704	100 Million	$1,050,299.00
2080	BitSong	BTSG	0.01	-0.006	-0.041	-0.144	0.26	$5,140.00	108442198	122 Million	$1,026,319.00
2081	HeadStarter	HST	0.01	0	-0.043	-0.036	0.184	$711.00	137170155	2.5 Billion	$1,025,200.00
2082	FOUR	FOUR	0.01	-0.01	-0.224	1.404	3.696	$40,604.00	191933901	400 Million	$1,022,374.00
2084	CrossWallet	CWT	0.01	0	-0.125	-0.351	0.22	$23,849.00	125000000	125 Million	$1,018,101.00
